route_code,stopcode,StopDescrE,StopLat,StopLng
2085,10374,STOYRNARH,37.987833,23.729313
2085,61011,POLYTEXNEIO,37.9884693,23.7303264
2085,60985,PL. KANIGGOS,37.9854204,23.7310317
2085,60010,NAYARINOY,37.9837048,23.7349122
2085,60011,ARAXOBHS,37.9849398,23.7374186
2085,60012,KALLIDROMIOY,37.985911,23.7392359
2085,60013,TSIMISKH,37.9869527,23.7411863
2085,60014,LASKAREOS,37.9884026,23.7439909
2085,60070,PANATHINEA,37.9891226,23.7461338
2085,60071,IPPOKRATOYS,37.9888542,23.7482542
2085,60072,IKA,37.9880563,23.7523352
2085,60073,ST. AMPELOKHPOI,37.9871943,23.7570458
2085,60598,AMPELOKHPOI,37.9877954,23.7629466
2085,60601,ZERBA,37.9893773,23.7646045
2085,60603,ERYTHROS STAYROS,37.9924188,23.7666903
2085,60604,GHROKOMEIO,37.9956938,23.7683769
2085,60605,KATEXAKH,37.9990617,23.770535
2085,690015,SKALAKIA,38.0022585,23.7738264
2085,690008,FAROS,38.0054339,23.7762627
2085,690017,PARITSH,38.0070034,23.7775786
2085,480049,AG. BARBARA,38.0107545,23.780975
2085,480143,ARSAKEIO,38.0123314,23.782473
2085,480050,ABANA,38.013848,23.7838242
2085,480051,KOLLEGIO,38.0152564,23.7851301
2085,480052,SERRON,38.0170529,23.7867198
2085,480053,SIDERA,38.0199228,23.7888534
2085,480086,YGEIA,38.0267698,23.7898269
2085,480087,ASTYNOMIA,38.0294692,23.7919682
2085,480088,OLYMPIAKO STADIO,38.0329362,23.7950302
2085,90158,AGORA,38.0352323,23.7972761
2085,90002,PARADEISOS,38.0376647,23.8000329
2085,90003,IOANNIDOY,38.0394852,23.8018569
2085,90052,XEIMARAS,38.0410827,23.8032202
2085,90004,OTE,38.0435018,23.8048893
2085,90006,HBH,38.0450447,23.8064804
2085,90007,KANATADIKA,38.0470385,23.8078406
2085,90008,DIASTAYROSH AMAROYSIOY,38.0509027,23.8099618
2085,90009,DIASTAYROSH MELISSION,38.0543544,23.8116877
2086,90014,DIASTAYROSH MELISSION,38.0534423,23.8109432
2086,90015,DIASTAYROSH AMAROYSIOY,38.0510157,23.8097087
2086,90016,KANATADIKA,38.0484137,23.8077711
2086,90017,HBH,38.0470258,23.807474
2086,90018,OTE,38.0455639,23.8064443
2086,90019,BLASTOY,38.0437703,23.804307
2086,90138,ATTIKH ODOS,38.0420731,23.8026135
2086,90020,IOANNIDOY,38.0397726,23.8012636
2086,90021,PARADEISOS,38.0370218,23.7985417
2086,90022,EKTHESIAKO KENTRO,38.0350145,23.7963651
2086,90089,OLYMPIAKO STADIO,38.0324057,23.7940478
2086,90024,ASTYNOMIA,38.0292382,23.7913442
2086,90025,YGEIA,38.026634,23.7894577
2086,750025,PERIPTERO,38.0207429,23.7887895
2086,750026,SERRON,38.0177927,23.7868942
2086,770027,KOLLEGIO,38.0149391,23.7841172
2086,770028,ARSAKEIO,38.0132511,23.7826754
2086,770029,1st AG. BARBARAS,38.0095411,23.7794292
2086,770030,FAROS,38.0061368,23.7762036
2086,770019,SKALAKIA,38.0031132,23.773912
2086,770020,NTALIA,38.001732,23.7727886
2086,770021,KATEXAKH,37.9997634,23.7708129
2086,60607,GHROKOMEIO,37.995774,23.7678869
2086,60608,ERYTHROS STAYROS,37.9924992,23.7663256
2086,60610,ZERBA,37.9897464,23.7643641
2086,60611,AMPELOKHPOI,37.9873891,23.7619005
2086,61126,ST. AMPELOKHPOI,37.9875145,23.7571058
2086,60614,NOSOKOMEIO AG. SABBAS,37.987889,23.7551573
2086,60616,IKA,37.9886465,23.7510778
2086,60617,IPPOKRATOYS,37.9893237,23.7474427
2086,60618,PANATHINAIA,37.9898935,23.744161
2086,60619,SONIA,37.99015,23.742246
2086,60058,PARKO,37.9908629,23.7382584
2086,60620,PEDION AREOS,37.9915954,23.7331268
2086,61011,POLYTEXNEIO,37.9884693,23.7303264
2086,10374,STOYRNARH,37.987833,23.729313
3614,160179,PAPADOPOYLOY,37.8768729,23.7577311
3614,160120,KARAXALIOY,37.8802977,23.7576403
3614,160121,KARAPANOY,37.8818352,23.7558499
3614,160122,RODOPHS,37.8837502,23.7535465
3614,160123,ISMHNHS,37.8860795,23.7511733
3614,590029,GEFYRA,37.8890236,23.7496508
3614,590030,ST. ELLHNIKO,37.8914094,23.7484486
3614,590031,AMERIKANIKH BASH,37.8941922,23.74737
3614,590032,LABASSA,37.8977153,23.7469371
3614,590033,6th ARGYROYPOLEOS,37.9009409,23.7464597
3614,110004,ST. ARGYROYPOLH,37.9031396,23.7460405
3614,110005,4th ARGYROYPOLEOS,37.9067616,23.7456548
3614,110006,2nd ARGYROYPOLEOS,37.9124292,23.7449414
3614,110007,STROFH ARGYROYPOLEOS,37.9157543,23.7445633
3614,210075,KONTOPIGADO - ST. ALIMOS,37.9194495,23.7445745
3614,210076,ANEMONA,37.9210779,23.7445841
3614,210077,NORMA,37.9233601,23.7445625
3614,210078,ST. HLIOYPOLH,37.9279997,23.7445649
3614,210079,KARAMALEGKOY,37.9310135,23.7446136
3614,210080,AG. BASILEIOS,37.9343209,23.744392
3614,210081,ATHINAS,37.9364043,23.7430167
3614,210082,ELKA - ST. AG. DHMHTRIOS,37.9402343,23.7409077
3614,40008,DARZENTA,37.9423166,23.7410369
3614,40009,BLAXOY,37.9454064,23.7402977
3614,40010,FOROS,37.9480458,23.7396624
3614,170020,GYMNASTIKH AKADHMIA,37.9501625,23.7390744
3614,170021,NANA,37.9539026,23.7389701
3614,60843,AG. IOANNHS,37.9564259,23.7387905
3614,60851,ROZITA,37.9595058,23.7376867
3614,60852,A NEKROTAFEIO,37.9629439,23.7355115
3614,60854,BARIOTH,37.9650945,23.7339897
3614,60855,MAKRYGIANNH,37.9680026,23.7326358
3614,60998,SYNTAGMA,37.9741884,23.7355221
3614,60015,NOMISMATIKO MOYSEIO,37.9777067,23.735413
3614,11550,AFETHRIA - RHGA FERAIOY,37.980453,23.734075
5349,11550,AFETHRIA - RHGA FERAIOY,37.980453,23.734075
5349,61593,AMERIKHS,37.9780979,23.7370057
5349,60002,PL. SYNTAGMATOS,37.9744066,23.7352418
5349,60835,MAKRYGIANNH,37.966769,23.7331298
5349,60836,BARIOTH,37.9630658,23.7336213
5349,60837,FOYRNOS,37.9594427,23.7340844
5349,60838,AG. IOANNHS,37.9575975,23.7347339
5349,170001,GARDENIA,37.9546897,23.7362355
5349,170017,NANA,37.9525373,23.7370172
5349,170019,KALOGHRON,37.9502411,23.7379246
5349,40001,FOROS,37.9473051,23.7387111
5349,40002,PANAGITSA,37.9441427,23.7394258
5349,40003,DARZENTA - ST. AG. DHMHTRIOS,37.9409334,23.7402958
5349,40004,ELKA,37.9383824,23.7411621
5349,40005,ATHINAS,37.9354806,23.7432231
5349,40006,AG. BASILEIOS,37.9333211,23.7442535
5349,40007,KARAMOLEGOY - ST. HLIOYPOLH,37.9293636,23.7441512
